Barkod;Model Kodu;stockID;Name;Price;Stok
8682125488462;8682125488462;8682125488462;Organik Galeta Unu 285 gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);184.0;1867
8682125488769;8682125488769;8682125488769;Organik Elma Suyu Konsantresi 248gr (PEST_S_T ANAL_ZL_);237.6;6186
BAKLMAKABEY001;BEYBEBEK_RM_K4;beyirmik10;Organik Bebek Irmik 350gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);234.9;1632
BEYBEBEKTARHANA4;BEYBEBEKTARHANA4;BEYBEBEKTARHANA4;Organik Bebek Tarhanası 500gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);369.9;3786
beybaldo3;beybaldo3;86821254846791;Organik Pirinç Baldo 2,5kg (PEST_S_T VE AFLATOKS_N ANAL_ZL_);843.0;2677
8682125484662;8682125484662;8682125484662;Organik Köftelik Bulgur 2,5kg (PEST_S_T VE AFLATOKS_N ANAL_ZL_);472.0;2962
8682125484624;8682125484624;8682125484624;Organik Pirinç Osmancık 2,5kg (PEST_S_T VE AFLATOKS_N ANAL_ZL_);766.0;5870
86821254846481;86821254846481;821254846481;Organik Ye_il Mercimek 2,5kg (PEST_S_T VE AFLATOKS_N ANAL_ZL_);861.0;4976
8682125484655;8682125484655;8682125484655;Organik Pilavlık Bulgur 2,5kg (PEST_S_T VE AFLATOKS_N ANAL_ZL_);472.3;5421
8682125484631;8682125484631;8682125484631;ORGAN_K Kırmızı Mercimek 2,5kg (PEST_S_T ve AFLATOKS_N ANAL_ZL_);640.0;2304
BEY355;BEY355;BEY355;Organik Bu_day Unu 1kg (PEST_S_T VE AFLATOKS_N ANAL_ZL_);273.09;2903
BEYYO_URTSUZ;BEYYO_URTSUZ;BEYYO_URTSUZ;Organik Tarhana Yo_urtsuz  300gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);381.0;2637
BEY229;BEY229;BEY229;Organik Kuru Fasulye  1kg (PEST_S_T VE AFLATOKS_N ANAL_ZL_);369.6;1945
SKT-226;SKT-226;SKT-226;Organik Ye_il Mercimek 1kg (PEST_S_T VE AFLATOKS_N ANAL_ZL_);361.9;4871
BEYSARI1000;BEYSARI1000;BEYSARI1000;Organik Sarı Mercimek 1kg (PEST_S_T VE AFLATOKS_N ANAL_ZL_);396.0;4354
SKT-409;-409;SKT-409;Organik Tam Yulaf Unu 500gr  (PEST_S_T ve AFLATOKS_N ANAL_ZL_);249.9;8209
8682125485126;8682125485126;8682125485126;ORGAN_K Ketçap Tatlı 250cc;399.9;2911
BEYTAH_NPEKMEZ1;BEYTAH_NPEKMEZ1;BEYTAH_NPEKMEZ1;Organik Tahin & Pekmez (SALMONELLA VE PEST_S_T ANAL_ZL_);520.9;8668
BEYS_RKE1;BEYS_RKE1;BEYS_RKE1;Organik Sirke Seti 3'lü 500ml (PEST_S_T ANAL_ZL_);720.9;9517
BEYS_RKE3;BEYS_RKE3;BEYS_RKE3;Organik Elma Sirkesi 5'li 500ml (PEST_S_T ANAL_ZL_);1199.9;9768
55306007;55306007;;Organik Pirinç Baldo 1kg (PEST_S_T VE AFLATOKS_N ANAL_ZL_);343.2;1488
EKO269326963;EKO562369963;EKO562369963;ORGAN_K Tam Bu_day Unu 1kg (PEST_S_T ve AFLATOKS_N ANAL_ZL_);249.0;11367
868212548721;BEY8721;868212548721;Organik Bebek Bisküvisi 150gr (PEST_S_T ANAL_ZL_);489.9;16808
868212548787;BEY8787;868212548787;Organik Ru_eymli Krep Karı_ımı 200gr;249.0;3910
8682125484266;86802125484266;8682125484266;Organik Karabu_daylı Çorbalık Tahıl Karı_ımı 440gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);222.85;1928
8682125484532;8682125484532;8682125484532;Organik Karabu_day Unlu Tarhana 300gr;441.0;1961
8682125485812;8682125485812;8682125485812;Organik Pirinç Karacada_ 500gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);271.92;2286
8682125484181;8682125484181;8682125484181;Organik Süzme Bal 850gr (ORGAN_K Ç_ÇEK BALI);1140.48;2818
8682125485324;8682125485324;8682125485324;Organik Alıç Sirkesi 500ml (PEST_S_T ANAL_ZL_);349.9;4528
8682125484907;8682125484907;8682125485560;Organik Elma Sirkesi 500ml (PEST_S_T ANAL_ZL_);349.0;3714
8682125485331;8682125485331;8682125485331;Organik Üzüm Sirkesi 500ml (PEST_S_T ANAL_ZL_);223.9;7069
BEYÜZÜM-ÖZÜ1;8682125485096;BEYÜZÜM-ÖZÜ1;Organik Üzüm Özü 315gr (PEST_S_T VE A_IR METAL ANAL_ZL_);149.9;882
8682125485119;8682125485119;8682125485119;ORGAN_K Tahin 300gr (SALMONELLA ve PEST_S_T ANAL_ZL_);282.62;16162
keçinoynuzu-özü-1;8682125485102;keçinoynuzu-özü-1;Organik Keçiboynuzu Özü 315ml (PEST_S_T VE A_IR METAL ANAL_ZL_);208.0;1143
8682125485034;8682125485034;8682125485034;Organik Dut Özü 315gr (PEST_S_T VE A_IR METAL ANAL_ZL_);247.0;2084
8682125485348;8682125485348;8682125485348;ORGAN_K Patlak Mısır 1kg (PEST_S_T ve AFLATOKS_N ANAL_ZL_);249.0;4219
8680419375634;8680419375634;8680419375634;Organik Bulgur Köftelik 1kg (PEST_S_T VE AFLATOKS_N ANAL_ZL_);349.9;3765
8682125485829;8682125485829;8682125485829;ORGAN_K Pirinç Karacada_ 1kg (PEST_S_T ve AFLATOKS_N ANAL_ZL_);369.6;1702
8680419375436;NEK487;;ORGAN_K Siyez Pilavlık Bulgur 1kg (PEST_S_T ve AFLATOKS_N ANAL_ZL_);349.0;9609
8680419375337;SIYEZ;8680419375337;ORGAN_K Siyez Pilavlık Bulgur 500gr (PEST_S_T ve AFLATOKS_N ANAL_ZL_);228.36;2733
58306012;58306012;;Organik Çimlendirmelik Bu_day 500gr Mikroye_illik (PEST_S_T VE AFLATOKS_N ANAL_ZL_);135.06;2018
8680419375399;86804193753991;8680419375399;Organik Pilavlık Bulgur 1kg (PEST_S_T VE AFLATOKS_N ANAL_ZL_);349.0;5281
